Power,betap,betap_error,ne0,ne0_error,taue,taue_error,te0,te0_error
2,0.39610658677255300,0.017024948817466800,3.80961479376746E+19,9.31044833536369E+17,0.3031307506165610,0.009250566442636980,2320.3432239085000,56.60515728384150
4,0.48090475771756700,0.02256236912211500,3.81639108899694E+19,9.171153055801E+17,0.20863125930543300,0.005300004260706800,2634.671795805310,70.50420984853760
6,0.9048804093446080,0.05280689970938150,3.93880474344609E+19,9.30222248460572E+17,0.2783699449599130,0.004848835114809580,3823.917048629400,68.86232178338880
8,0.9861711144203140,0.0482826005763088,3.94063225453512E+19,9.33438755679638E+17,0.23177076113557300,0.0037610589857430700,4019.318420335250,41.84750458650820
10,1.027553927883670,0.050793475689495900,3.93775379348394E+19,9.35621859236939E+17,0.2094724772836080,0.0032859927332778600,4125.142245101800,39.25808073631330
15,1.171473382953780,0.058871325974247300,3.93576469354326E+19,9.33621087252525E+17,0.15550890269250800,0.0022585747347382500,4428.556906748100,33.794976277001700
20,1.294829545800600,0.06612479681748690,3.9418339708448E+19,9.35277957565317E+17,0.1268905880126680,0.0018510814613202900,4617.825769066820,32.67157829116190
30,1.4782274358249700,0.07578351685679990,3.94541199152597E+19,9.392776721734E+17,0.09493701638495630,0.0013699708129879000,4886.649703781520,29.841603117276000
40,1.6026220060916200,0.0819856329570469,3.94841915933108E+19,9.40477452530752E+17,0.07909944216253310,0.001147408297393100,5041.176703817290,28.058409257607200
